text,label
Kachra wala nahi aaya teen din se. Support needed.,garbage
Potholes on the main highway are causing accidents. Support needed.,road
Help! Dead animal rotting near the garbage dump..,garbage
Please resolve this: Bhai society ke bahar pura kachra pada hai..,garbage
I am facing issues with Pipe leak hone ki wajah se pani waste ho raha hai..,water
Please resolve this: Router is getting a red light..,internet
Help! Dead animal rotting near the garbage dump..,garbage
This is a complaint regarding Repeated disconnections every 5 minutes!!!!!!,internet
I am facing issues with Sweeper is not cleaning the street properly..,garbage
Road pe bahut zyada kachra aur patthar hain. Support needed.,road
Please clear the municipal dustbin.,garbage
Wire sparking at the junction box!!! Support needed!!!,electricity
I am facing issues with Safai karamchari is absent everyday!!!!!!,garbage
Pani nahi aa raha hai.,water
I am facing issues with There is a loose wire hanging from the pole outside my house..,electricity
Urgent: Sweeper is not cleaning the street properly..,garbage
Help! Trash bins are overflowing in the park..,garbage
Frequent power trips during the night. Support needed.,electricity
Sweeper is not cleaning the street properly. Support needed.,garbage
Drainage is overflowing onto the street. yaar.,water
Internet connection is completely dead.,internet
Please resolve this: WiFi signal is very weak..,internet
I am facing issues with Asphalt is melting during the day..,road
Help! Pipe leak hone ki wajah se pani waste ho raha hai..,water
Urgent: Safai karamchari is absent everyday..,garbage
No speed breakers near the school zone. Support needed.,road
This is a complaint regarding No speed breakers near the school zone!!!!!!,road
Pipe leak hone ki wajah se pani waste ho raha hai.,water
Urgent: Illegal dumping site created overnight..,garbage
urgent: fiber cable cut by municipal workers..,internet
This is a complaint regarding Wire sparking at the junction box..,electricity
This is a complaint regarding Manhole cover is missing on the street..,road
Foul smell from the uncollected garbage pile.,garbage
"Bhai pani ki tanki khali ho gayi, supply kab chalu hogi? yaar.",water
power went out in my entire neighborhood 2 hours ago!!! support needed!!!,electricity
Help! Frequent power trips during the night..,electricity
Traffic signal is not working at the intersection.,road
People are dumping waste in the empty plot.,garbage
Dustbins are broken and spilling over. Support needed.,garbage
Fiber cable cut by municipal workers.,internet
Lineman is not responding to broadband repair request.,internet
Garbage truck has not visited our lane for a week.,garbage
Road ka kaam kab pura hoga? Support needed.,road
"Bhai pani ki tanki khali ho gayi, supply kab chalu hogi?",water
help! please restore electricity asap..,electricity
I am facing issues with Safai karamchari is absent everyday..,garbage
Urgent: People are dumping waste in the empty plot..,garbage
power went out in my entire neighborhood 2 hours ago. yaar.,electricity
Please clear the municipal dustbin. Support needed.,garbage
Help! No municipal water for 3 days..,water
Data balance wrongly deducted.,internet
Urgent: Pipe leak hone ki wajah se pani waste ho raha hai..,water
Please resolve this: Repeated disconnections every 5 minutes..,internet
I am facing issues with Garbage truck has not visited our lane for a week..,garbage
Urgent: Drainage is overflowing onto the street..,water
"Power cut since morning, please fix. yaar.",electricity
Dead animal rotting near the garbage dump. yaar.,garbage
Water bill is incorrect.,water
i am facing issues with light nahi aa rahi hai subah se..,electricity
Divider breakdown near the crossing.,road
Trash bins are overflowing in the park. Support needed.,garbage
Heavy traffic jam due to unstructured diversions.,road
My electricity bill is unusually high this month. yaar.,electricity
This is a complaint regarding No segregation of dry and wet waste by collectors..,garbage
Please resolve this: Kachra wala nahi aaya teen din se..,garbage
Ping is too high for gaming.,internet
People are dumping waste in the empty plot. Support needed.,garbage
Internet connection is completely dead. Support needed.,internet
Please resolve this: People are dumping waste in the empty plot..,garbage
please resolve this: kachra jama ho gaya hai kone mein..,garbage
"I am facing issues with Bhai pani ki tanki khali ho gayi, supply kab chalu hogi?.",water
Help! Fiber cable cut by municipal workers..,internet
Help! Unable to connect to the broadband network..,internet
Wifi slow hai bro.,internet
People are dumping waste in the empty plot. Support needed.,garbage
i am facing issues with people are dumping waste in the empty plot..,garbage
Accident prone area needs immediate repair. yaar.,road
I am facing issues with Trash bins are overflowing in the park!!!!!!,garbage
Please restore electricity ASAP.,electricity
Drainage is overflowing onto the street.,water
This is a complaint regarding Street is completely flooded after minor rain..,road
This is a complaint regarding Manhole cover is missing on the street..,road
Help! Light nahi aa rahi hai subah se!!!!!!,electricity
this is a complaint regarding pani nahi aa raha hai!!!!!!,water
Help! Please send a water tanker immediately..,water
Illegal dumping site created overnight. yaar.,garbage
Kachra jama ho gaya hai kone mein.,garbage
Help! Frequent power trips during the night..,electricity
dustbins are broken and spilling over. yaar.,garbage
"i am facing issues with power cut since morning, please fix..",electricity
Router is getting a red light. Support needed.,internet
Help! Drainage is overflowing onto the street..,water
I am facing issues with Heavy traffic jam due to unstructured diversions..,road
Urgent: Ping is too high for gaming..,internet
accident prone area needs immediate repair. yaar.,road
WiFi signal is very weak.,internet
This is a complaint regarding Illegal dumping site created overnight..,garbage
Cleaning staff asking for extra money.,garbage
Urgent: Voltage fluctuations are damaging my appliances..,electricity
"Help! Meter is faulty, showing erratic readings..",electricity
Urgent: Lineman is not responding to broadband repair request..,internet
Light nahi aa rahi hai subah se.,electricity
this is a complaint regarding garbage truck has not visited our lane for a week..,garbage
Please resolve this: Water meter reading is faulty..,water
urgent: latency issues during video calls..,internet
Help! No segregation of dry and wet waste by collectors..,garbage
My electricity bill is unusually high this month.,electricity
I am facing issues with Voltage fluctuations are damaging my appliances..,electricity
No municipal water for 3 days.,water
i am facing issues with illegal dumping site created overnight..,garbage
Accident prone area needs immediate repair.,road
Water pressure is extremely low.,water
urgent: please restore electricity asap..,electricity
Manhole cover is missing on the street.,road
Internet down ho gaya hai wapas.,internet
This is a complaint regarding WiFi signal is very weak..,internet
Urgent: Road construction abandoned halfway!!!!!!,road
Road ka kaam kab pura hoga?,road
This is a complaint regarding Bhai net kab theek hoga? Work from home hai..,internet
Pipes are leaking on the main road.,water
I am facing issues with Latency issues during video calls..,internet
